Note,Time
C5,200
G#5,400
C#6,200
C6,200
F#4,200
C#5,200
F4,400
D#5,200
G#5,200
F#4,200
G4,200
G3,400
C4,400
F5,200
P,5400
E5,200
C5,200
D2,600
A#2,400
A#3,200
D5,200
D#5,200
A#3,200
G#2,400
G4,200
P,400
C4,200
D#5,200
E2,200
F2,400
F5,200
A#2,200
G3,200
A#2,200
F3,200
F4,200
G#5,200
F#5,200
G3,200
D2,600
A#2,200
D2,200
A#3,200
G3,200
G#2,600
G3,200
P,600
B3,400
F2,600
E2,200
G3,400
A#2,200
P,1000
D2,1200
D#2,200
C#5,200
D#2,200
A#3,200
F#3,200
D5,200
B4,200
F#3,200
A#1,600
A#2,200
G3,200
G4,200
G3,400
A#2,400
P,200
G3,200
B3,200
P,200
A#2,400
D2,400
A#4,400
A#3,200
C5,200
F#3,400
G3,200
F#4,200
F#3,400
A#1,600
G3,400
D5,200
D#5,200
A#2,200
G3,200
P,600
G3,200
A#2,200
D2,800
A#2,400
C5,200
D#2,200
F#4,200
A#4,400
C5,200
D5,200
F#3,200
A#1,400
A#2,200
G3,200
C5,200
B3,200
G3,400
A#2,400
B3,400
G3,400
A#3,400
A#4,400
G#1,200
A#3,200
C5,200
A#3,200
C#5,200
A#3,200
F4,200
F#4,600
D#5,200
G#2,200
F#3,200
D5,200
F#3,200
A#3,400
D5,200
D#5,200
F#3,200
D5,200
F#4,400
P,200
A#2,400
D2,600
A#3,200
D#2,400
D#5,200
D5,200
E5,200
F#4,200
C5,200
F#4,200
A#1,600
D#5,200
D5,200
A#2,200
F5,200
D5,200
D#5,200
G3,1000
A#2,400
D2,600
D#2,400
A#4,200
B4,200
P,200
C5,200
F#4,600
A#1,400
D5,200
E5,200
A#1,200
D#5,200
G3,400
A#2,200
P,200
G4,200
A#4,200
C5,200
D2,200
A#2,400
F5,400
D2,200
D#5,200
G3,200
G#2,200
G3,200
G#2,200
D#4,400
F#3,200
C5,200
G3,200
F2,200
E2,200
D5,200
E2,200
G3,600
A#2,200
G3,200
F2,200
G4,200
C5,200
E2,200
D2,1000
F2,200
A#3,400
G#2,400
F#3,200
F#4,400
B3,200
D#5,200
F2,400
E2,400
G3,1000
G4,200
A#4,200
G3,200
D#2,400
A#2,200
F5,400
D2,200
D#5,200
D5,200
D#5,200
D#4,400
G3,200
A#4,200
G3,400
F2,800
E2,200
A#2,200
C#5,200
G3,200
C#5,200
P,200
G4,200
F4,200
C5,200
D2,200
A#2,200
D2,400
D#5,400
F#3,600
D#4,200
F#3,200
D#4,400
P,200
D#5,200
A#2,200
D#5,400
F#2,200
A#1,200
P,7600
